input,output
may i have the phone number of the restaurant # phone_call # can you provide the address # ,_address
may i have the phone number of the restaurant # phone_call # can you provide the address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with vietnamese cuisine # ,where should it be
can you make a restaurant reservation with vietnamese cuisine # where should it be # in bangkok # ,how many people would be in your party
can you make a restaurant reservation with vietnamese cuisine # where should it be # in bangkok # how many people would be in your party # we will be four # ,which price range are looking for
can you make a restaurant reservation with vietnamese cuisine # where should it be # in bangkok # how many people would be in your party # we will be four # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer in a moderate price range # ,sure is there anything else to update
instead could it be for eight # ,sure is there anything else to update
actually i would prefer with japanese cuisine # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in beijing # ,any preference on a type of cuisine
i'd like to book a table in beijing # any preference on a type of cuisine # i love thai food # ,how many people would be in your party
i'd like to book a table in beijing # any preference on a type of cuisine # i love thai food # how many people would be in your party # for six please # ,which price range are looking for
i'd like to book a table in beijing # any preference on a type of cuisine # i love thai food # how many people would be in your party # for six please # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer for two people # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # what is the phone number of the restaurant # ,phone_call
do you have its address # _address # what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table with japanese cuisine for two people # ,where should it be
i'd like to book a table with japanese cuisine for two people # where should it be # bangkok please # ,which price range are looking for
i'd like to book a table with japanese cuisine for two people # where should it be # bangkok please # which price range are looking for # i am looking for a moderate restaurant # ,api_call
instead could it be for four # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table in a moderate price range in tokyo with vietnamese food # ,how many people would be in your party
can you book a table in a moderate price range in tokyo with vietnamese food # how many people would be in your party # for two people please # ,api_call
instead could it be in beijing # ,sure is there anything else to update
instead could it be for eight people # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # do you have its phone number # ,phone_call
do you have its address # _address # do you have its phone number # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table for eight # ,any preference on a type of cuisine
can you book a table for eight # any preference on a type of cuisine # i love korean food # ,where should it be
can you book a table for eight # any preference on a type of cuisine # i love korean food # where should it be # in hanoi # ,which price range are looking for
can you book a table for eight # any preference on a type of cuisine # i love korean food # where should it be # in hanoi # which price range are looking for # in a cheap price range please # ,api_call
instead could it be with cantonese cuisine # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with japanese cuisine in a expensive price range # ,where should it be
can you make a restaurant reservation with japanese cuisine in a expensive price range # where should it be # in hanoi # ,how many people would be in your party
can you make a restaurant reservation with japanese cuisine in a expensive price range # where should it be # in hanoi # how many people would be in your party # we will be six # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # can you provide the address # ,_address
do you have its phone number # phone_call # can you provide the address # _address # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for six in a moderate price range in seoul # ,any preference on a type of cuisine
may i have a table for six in a moderate price range in seoul # any preference on a type of cuisine # with cantonese cuisine # ,api_call
instead could it be for eight # ,sure is there anything else to update
instead could it be with vietnamese food # ,sure is there anything else to update
actually i would prefer in tokyo # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # may i have the address of the restaurant # ,_address
do you have its phone number # phone_call # may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table in tokyo for four # ,any preference on a type of cuisine
may i have a table in tokyo for four # any preference on a type of cuisine # with vietnamese cuisine # ,which price range are looking for
may i have a table in tokyo for four # any preference on a type of cuisine # with vietnamese cuisine # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer with thai food # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table with thai cuisine for eight people in beijing # ,which price range are looking for
i'd like to book a table with thai cuisine for eight people in beijing # which price range are looking for # in a cheap price range please # ,api_call
instead could it be for four # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # do you have its address # ,_address
do you have its phone number # phone_call # do you have its address # _address # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in a cheap price range with cantonese food # ,where should it be
can you make a restaurant reservation in a cheap price range with cantonese food # where should it be # hanoi please # ,how many people would be in your party
can you make a restaurant reservation in a cheap price range with cantonese food # where should it be # hanoi please # how many people would be in your party # for four please # ,api_call
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer in beijing # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in tokyo with cantonese food # ,how many people would be in your party
i'd like to book a table in tokyo with cantonese food # how many people would be in your party # for four please # ,which price range are looking for
i'd like to book a table in tokyo with cantonese food # how many people would be in your party # for four please # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer with thai cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # do you have its address # ,_address
do you have its phone number # phone_call # do you have its address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation with thai cuisine in a expensive price range for four people # ,where should it be
can you make a restaurant reservation with thai cuisine in a expensive price range for four people # where should it be # in bangkok # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table with vietnamese food for four # ,where should it be
may i have a table with vietnamese food for four # where should it be # bangkok please # ,which price range are looking for
may i have a table with vietnamese food for four # where should it be # bangkok please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
instead could it be with japanese food # ,sure is there anything else to update
actually i would prefer for eight people # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # do you have its phone number # ,phone_call
do you have its address # _address # do you have its phone number # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table with vietnamese food # ,where should it be
can you book a table with vietnamese food # where should it be # in beijing # ,how many people would be in your party
can you book a table with vietnamese food # where should it be # in beijing # how many people would be in your party # we will be four # ,which price range are looking for
can you book a table with vietnamese food # where should it be # in beijing # how many people would be in your party # we will be four # which price range are looking for # in a expensive price range please # ,api_call
instead could it be for six people # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table for eight people in a moderate price range # ,any preference on a type of cuisine
can you book a table for eight people in a moderate price range # any preference on a type of cuisine # with japanese cuisine # ,where should it be
can you book a table for eight people in a moderate price range # any preference on a type of cuisine # with japanese cuisine # where should it be # bangkok please # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
instead could it be in a expensive price range # ,sure is there anything else to update
actually i would prefer for six people # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table with korean food in seoul for eight # ,which price range are looking for
can you book a table with korean food in seoul for eight # which price range are looking for # in a moderate price range please # ,api_call
actually i would prefer for two # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in beijing with vietnamese food # ,how many people would be in your party
i'd like to book a table in beijing with vietnamese food # how many people would be in your party # for eight please # ,which price range are looking for
i'd like to book a table in beijing with vietnamese food # how many people would be in your party # for eight please # which price range are looking for # in a moderate price range please # ,api_call
instead could it be in bangkok # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in a expensive price range # ,any preference on a type of cuisine
can you make a restaurant reservation in a expensive price range # any preference on a type of cuisine # with cantonese food # ,where should it be
can you make a restaurant reservation in a expensive price range # any preference on a type of cuisine # with cantonese food # where should it be # hanoi please # ,how many people would be in your party
can you make a restaurant reservation in a expensive price range # any preference on a type of cuisine # with cantonese food # where should it be # hanoi please # how many people would be in your party # we will be six # ,api_call
actually i would prefer for eight people # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table with japanese cuisine # ,where should it be
may i have a table with japanese cuisine # where should it be # bangkok please # ,how many people would be in your party
may i have a table with japanese cuisine # where should it be # bangkok please # how many people would be in your party # for two people please # ,which price range are looking for
may i have a table with japanese cuisine # where should it be # bangkok please # how many people would be in your party # for two people please # which price range are looking for # i am looking for a moderate restaurant # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
instead could it be with thai cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation in tokyo in a expensive price range for eight # ,any preference on a type of cuisine
can you make a restaurant reservation in tokyo in a expensive price range for eight # any preference on a type of cuisine # with vietnamese food # ,api_call
actually i would prefer in hanoi # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the phone number of the restaurant # ,phone_call
may i have the phone number of the restaurant # phone_call # can you provide the address # ,_address
may i have the phone number of the restaurant # phone_call # can you provide the address # _address # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table for four people with thai food in bangkok # ,which price range are looking for
i'd like to book a table for four people with thai food in bangkok # which price range are looking for # i am looking for a moderate restaurant # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table with korean cuisine in a expensive price range in tokyo # ,how many people would be in your party
can you book a table with korean cuisine in a expensive price range in tokyo # how many people would be in your party # for six please # ,api_call
actually i would prefer for two # ,sure is there anything else to update
instead could it be in a cheap price range # ,sure is there anything else to update
instead could it be with japanese food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
can you provide the address # ,_address
can you provide the address # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation for four people # ,any preference on a type of cuisine
can you make a restaurant reservation for four people # any preference on a type of cuisine # i love cantonese food # ,where should it be
can you make a restaurant reservation for four people # any preference on a type of cuisine # i love cantonese food # where should it be # in seoul # ,which price range are looking for
can you make a restaurant reservation for four people # any preference on a type of cuisine # i love cantonese food # where should it be # in seoul # which price range are looking for # in a expensive price range please # ,api_call
actually i would prefer in a cheap price range # ,sure is there anything else to update
instead could it be with thai cuisine # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # do you have its phone number # ,phone_call
may i have the address of the restaurant # _address # do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you make a restaurant reservation in bangkok # ,any preference on a type of cuisine
can you make a restaurant reservation in bangkok # any preference on a type of cuisine # i love vietnamese food # ,how many people would be in your party
can you make a restaurant reservation in bangkok # any preference on a type of cuisine # i love vietnamese food # how many people would be in your party # for six please # ,which price range are looking for
can you make a restaurant reservation in bangkok # any preference on a type of cuisine # i love vietnamese food # how many people would be in your party # for six please # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
instead could it be with korean cuisine # ,sure is there anything else to update
actually i would prefer in a cheap price range # ,sure is there anything else to update
no # ,api_call
it's perfect # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in beijing for two people # ,any preference on a type of cuisine
i'd like to book a table in beijing for two people # any preference on a type of cuisine # with japanese cuisine # ,which price range are looking for
i'd like to book a table in beijing for two people # any preference on a type of cuisine # with japanese cuisine # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
no # ,api_call
i love that # ,great let me do the reservation
what is the phone number of the restaurant # ,phone_call
what is the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table in a expensive price range # ,any preference on a type of cuisine
can you book a table in a expensive price range # any preference on a type of cuisine # with korean food # ,where should it be
can you book a table in a expensive price range # any preference on a type of cuisine # with korean food # where should it be # tokyo please # ,how many people would be in your party
can you book a table in a expensive price range # any preference on a type of cuisine # with korean food # where should it be # tokyo please # how many people would be in your party # we will be eight # ,api_call
actually i would prefer in seoul # ,sure is there anything else to update
actually i would prefer for six # ,sure is there anything else to update
instead could it be with cantonese cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # what is the phone number of the restaurant # ,phone_call
do you have its address # _address # what is the phone number of the restaurant # phone_call # thank you # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table for four in a expensive price range with cantonese cuisine # ,where should it be
may i have a table for four in a expensive price range with cantonese cuisine # where should it be # in hanoi # ,api_call
actually i would prefer in tokyo # ,sure is there anything else to update
instead could it be with japanese food # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # do you have its phone number # ,phone_call
do you have its address # _address # do you have its phone number # phone_call # thank you # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table with japanese food # ,where should it be
can you book a table with japanese food # where should it be # in bangkok # ,how many people would be in your party
can you book a table with japanese food # where should it be # in bangkok # how many people would be in your party # for eight people please # ,which price range are looking for
can you book a table with japanese food # where should it be # in bangkok # how many people would be in your party # for eight people please # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer in beijing # ,sure is there anything else to update
instead could it be with cantonese food # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with japanese food in a moderate price range # ,where should it be
can you make a restaurant reservation with japanese food in a moderate price range # where should it be # in tokyo # ,how many people would be in your party
can you make a restaurant reservation with japanese food in a moderate price range # where should it be # in tokyo # how many people would be in your party # for two please # ,api_call
instead could it be with cantonese cuisine # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table for four with cantonese food # ,where should it be
may i have a table for four with cantonese food # where should it be # hanoi please # ,which price range are looking for
may i have a table for four with cantonese food # where should it be # hanoi please # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer with thai food # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table with thai cuisine # ,where should it be
may i have a table with thai cuisine # where should it be # hanoi please # ,how many people would be in your party
may i have a table with thai cuisine # where should it be # hanoi please # how many people would be in your party # we will be four # ,which price range are looking for
may i have a table with thai cuisine # where should it be # hanoi please # how many people would be in your party # we will be four # which price range are looking for # in a cheap price range please # ,api_call
actually i would prefer for eight # ,sure is there anything else to update
actually i would prefer in beijing # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
i love that # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
may i have a table for two people # ,any preference on a type of cuisine
may i have a table for two people # any preference on a type of cuisine # i love korean food # ,where should it be
may i have a table for two people # any preference on a type of cuisine # i love korean food # where should it be # in hanoi # ,which price range are looking for
may i have a table for two people # any preference on a type of cuisine # i love korean food # where should it be # in hanoi # which price range are looking for # i am looking for a moderate restaurant # ,api_call
actually i would prefer with cantonese cuisine # ,sure is there anything else to update
instead could it be for six # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
do you have something else # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # what is the phone number of the restaurant # ,phone_call
do you have its address # _address # what is the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thank you # ,you're welcome
i'd like to book a table in a cheap price range with japanese cuisine # ,where should it be
i'd like to book a table in a cheap price range with japanese cuisine # where should it be # hanoi please # ,how many people would be in your party
i'd like to book a table in a cheap price range with japanese cuisine # where should it be # hanoi please # how many people would be in your party # for six please # ,api_call
actually i would prefer in bangkok # ,sure is there anything else to update
actually i would prefer for eight # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
i love that # ,great let me do the reservation
do you have its phone number # ,phone_call
do you have its phone number # phone_call # do you have its address # ,_address
do you have its phone number # phone_call # do you have its address # _address # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in seoul in a cheap price range with cantonese food # ,how many people would be in your party
may i have a table in seoul in a cheap price range with cantonese food # how many people would be in your party # for four please # ,api_call
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
do you have something else # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
i'd like to book a table in beijing for six # ,any preference on a type of cuisine
i'd like to book a table in beijing for six # any preference on a type of cuisine # i love thai food # ,which price range are looking for
i'd like to book a table in beijing for six # any preference on a type of cuisine # i love thai food # which price range are looking for # in a expensive price range please # ,api_call
instead could it be with vietnamese cuisine # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
let's do it # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you make a restaurant reservation with korean cuisine for eight people # ,where should it be
can you make a restaurant reservation with korean cuisine for eight people # where should it be # in bangkok # ,which price range are looking for
can you make a restaurant reservation with korean cuisine for eight people # where should it be # in bangkok # which price range are looking for # i am looking for a moderate restaurant # ,api_call
actually i would prefer in tokyo # ,sure is there anything else to update
actually i would prefer in a expensive price range # ,sure is there anything else to update
actually i would prefer with cantonese food # ,sure is there anything else to update
no # ,api_call
no i don't like that # ,sure let me find an other option for you
it's perfect # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # do you have its phone number # ,phone_call
do you have its address # _address # do you have its phone number # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
can you book a table in tokyo for four people # ,any preference on a type of cuisine
can you book a table in tokyo for four people # any preference on a type of cuisine # with cantonese cuisine # ,which price range are looking for
can you book a table in tokyo for four people # any preference on a type of cuisine # with cantonese cuisine # which price range are looking for # i am looking for a expensive restaurant # ,api_call
actually i would prefer with korean cuisine # ,sure is there anything else to update
no # ,api_call
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # you rock # ,is there anything i can help you with
no thank you # ,you're welcome
can you book a table for eight in seoul # ,any preference on a type of cuisine
can you book a table for eight in seoul # any preference on a type of cuisine # i love korean food # ,which price range are looking for
can you book a table for eight in seoul # any preference on a type of cuisine # i love korean food # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer for six people # ,sure is there anything else to update
actually i would prefer with thai cuisine # ,sure is there anything else to update
instead could it be in a moderate price range # ,sure is there anything else to update
no # ,api_call
that looks great # ,great let me do the reservation
may i have the address of the restaurant # ,_address
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # ,phone_call
may i have the address of the restaurant # _address # may i have the phone number of the restaurant # phone_call # thanks # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in beijing # ,any preference on a type of cuisine
may i have a table in beijing # any preference on a type of cuisine # with thai food # ,how many people would be in your party
may i have a table in beijing # any preference on a type of cuisine # with thai food # how many people would be in your party # for eight people please # ,which price range are looking for
may i have a table in beijing # any preference on a type of cuisine # with thai food # how many people would be in your party # for eight people please # which price range are looking for # i am looking for a cheap restaurant # ,api_call
actually i would prefer for four # ,sure is there anything else to update
actually i would prefer in bangkok # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
i love that # ,great let me do the reservation
do you have its address # ,_address
do you have its address # _address # may i have the phone number of the restaurant # ,phone_call
do you have its address # _address # may i have the phone number of the restaurant # phone_call # you rock # ,is there anything i can help you with
no thanks # ,you're welcome
may i have a table in a moderate price range in seoul with korean cuisine # ,how many people would be in your party
may i have a table in a moderate price range in seoul with korean cuisine # how many people would be in your party # we will be eight # ,api_call
actually i would prefer for six # ,sure is there anything else to update
instead could it be in hanoi # ,sure is there anything else to update
no # ,api_call
no this does not work for me # ,sure let me find an other option for you
no i don't like that # ,sure let me find an other option for you
no this does not work for me # ,sure let me find an other option for you
